restaurant_name,address,review,star_rating
The Golden Fork,"123 Main St, New York, NY 10001","Amazing food and wonderful atmosphere. The pasta was cooked to perfection and the staff was incredibly friendly.",5
The Golden Fork,"123 Main St, New York, NY 10001","Came here for my anniversary and it was a magical evening. The wine selection is superb and the risotto was creamy and rich.",5
The Golden Fork,"123 Main St, New York, NY 10001","Overrated and overpriced. The steak was tough and our waiter seemed annoyed by our questions about the menu.",2
The Golden Fork,"123 Main St, New York, NY 10001","Solid Italian dining experience. The tiramisu alone is worth the visit. Will definitely be coming back soon.",4
The Golden Fork,"123 Main St, New York, NY 10001","We waited 45 minutes past our reservation time. When we finally sat down the food was decent but not worth the hassle.",2
The Golden Fork,"123 Main St, New York, NY 10001","My family has been coming here for years and it never disappoints. The Sunday brunch is an absolute must-try.",5
The Golden Fork,"123 Main St, New York, NY 10001","The carbonara was swimming in cream which is not authentic at all. Disappointed as a fellow Italian.",2
The Golden Fork,"123 Main St, New York, NY 10001","Good food but the portions are small for the price. The ambiance makes up for it though. Nice date spot.",3
The Golden Fork,"123 Main St, New York, NY 10001","Had the chef's tasting menu and every course was a work of art. This place deserves a Michelin star.",5
The Golden Fork,"123 Main St, New York, NY 10001","Came with a group of 8 and they handled it perfectly. Great service and the family-style platters were generous.",4
The Golden Fork,"123 Main St, New York, NY 10001","Food was cold when it arrived. Sent it back and the second attempt was only marginally better. Very disappointing.",1
The Golden Fork,"123 Main St, New York, NY 10001","The gnocchi here is pillowy soft and the tomato sauce is clearly homemade. A hidden gem in the city.",5
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","Best sushi I've ever had outside of Japan. The chef's special omakase was worth every penny.",5
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","The fish was not fresh at all. I've had better sushi from a grocery store. Extremely overpriced for what you get.",1
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","Sat at the sushi bar and watched the chefs work. Incredible skill and the nigiri was melt-in-your-mouth good.",5
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","Good sushi but not the best in San Francisco. The dragon roll was tasty and the miso soup was comforting.",3
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","Ordered delivery and everything arrived in perfect condition. The sashimi platter was beautiful and delicious.",4
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","We had a private dining experience in the tatami room. The kaiseki meal was an unforgettable culinary journey.",5
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","The rolls are too Americanized for my taste. Too much mayo and cream cheese. I prefer traditional Japanese style.",2
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","Took my parents here for their 40th anniversary. They loved every bite. The sake selection is also top notch.",5
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","Waited an hour for our food even though the restaurant was half empty. When it came the tempura was soggy.",1
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","The lunch special is an incredible deal. Two rolls and a salad for $15. Quality is consistently great.",4
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","I found a hair in my edamame. The manager apologized and comped our appetizers but it still ruined the mood.",1
Sakura Sushi House,"789 Cherry Ln, San Francisco, CA 94102","The yellowtail jalapeño appetizer is a must-order. Perfectly balanced heat and freshness. Addictive.",4
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","The brisket was dry and the ribs were tough. For a BBQ place in Nashville I expected much better.",2
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","Absolutely phenomenal pulled pork. Smoky and tender with just the right amount of bark. The cornbread was heavenly.",5
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","Decent BBQ but I've had better in Texas. The sauce selection is nice though and the mac and cheese was solid.",3
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","This place is a tourist trap. Long lines and mediocre food. The locals know better spots for real BBQ.",2
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","The smoked wings are out of this world. Crispy skin with a deep smoky flavor. Best wings in Nashville hands down.",5
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","Brought my buddy from Kansas City here and even he admitted the ribs were legit. That's the highest praise.",5
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","The sides are forgettable but the meats are the star. Get the three-meat combo and you won't be disappointed.",4
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","Gave me food poisoning. Spent the whole next day in bed. I suspect the potato salad was the culprit.",1
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","Live music on Friday nights makes this place even better. Great vibes and the burnt ends are incredible.",5
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","The portion sizes are enormous. We ordered for two and could have easily fed four people. Great value.",4
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","They ran out of brisket at 6pm on a Saturday. How does a BBQ place run out of brisket? Poor planning.",1
Smokehouse BBQ,"804 Hickory Ave, Nashville, TN 37201","The peach cobbler dessert is a hidden gem on the menu. Perfectly sweet and pairs great with vanilla ice cream.",4
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Charming French bistro with authentic cuisine. The coq au vin was divine and the crème brûlée was perfect.",5
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Pretentious staff who looked down on us for not knowing French wine terminology. Food was good but the attitude ruined it.",2
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","The French onion soup here is the best I've ever tasted. Rich broth with perfectly caramelized onions and bubbly gruyère.",5
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Nice ambiance but the food is overpriced for what you get. The duck confit was good but not $45 good.",3
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Every dish was a masterpiece. The chef clearly trained in France. The bouillabaisse transported me straight to Marseille.",5
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Went for Restaurant Week and was impressed. The prix fixe menu was an excellent value and the quality was superb.",4
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","The escargot was rubbery and the steak frites was overcooked despite ordering medium rare. Very disappointing for the price.",1
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Beautiful restaurant with candlelit tables and soft jazz playing. Perfect for a romantic evening out. The food matches the setting.",5
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","I'm a chef myself and I can say the sauces here are technically flawless. The béarnaise was silky and balanced.",5
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Brought my French mother-in-law here and she approved. That's basically the highest compliment a French restaurant can receive.",5
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","The cheese board was underwhelming. Only three varieties and the bread was stale. Expected more from a French bistro.",2
Le Petit Bistro,"654 Maple Dr, Boston, MA 02101","Lovely spot for Sunday brunch. The eggs Florentine and fresh croissants were delightful. Great coffee selection too.",4
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","Great street-style tacos at reasonable prices. The al pastor was my favorite. Salsa bar is a nice touch.",4
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","This is what authentic Mexican food should taste like. The carnitas are slow-cooked to perfection and the tortillas are handmade.",5
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","Meh. The tacos were bland and the guacamole tasted like it came from a jar. I know better spots in Austin.",2
